"category_name","publisher","total"
Business,Reuters,3157
Business,NASDAQ,1922
Business,Businessweek,1822
Business,GlobalPost,1380
Business,RTT News,1326
Entertainment,Contactmusic.com,2309
Entertainment,Entertainmentwise,1595
Entertainment,Daily Mail,1474
Entertainment,TheCelebrityCafe.com,1399
Entertainment,Examiner.com,1393
Medical,Headlines & Global News,381
Medical,Tech Times,362
Medical,CBS Local,333
Medical,Huffington Post,323
Medical,Fox News,287
Technology,Tech Times,813
Technology,Ubergizmo,762
Technology,NDTV,647
Technology,CNET,644
Technology,Firstpost,609
